"","site","sample_period","sampling","avtemp","sdtemp","avsal","sdsal","avdo","sddo","avdepth","sddepth","avcan","sdcan","avtt","sdtt","avhw","sdhw","avsf","sdsf","species_common","mean_length","sd_length","mean_abundance","sd_abundance"
"1","AP","early","sled",29.9318181818182,1.08381441199759,27.4204545454545,2.4744782562578,7.39909090909091,0.884296379377461,104,31.6979795059859,317.807229445861,87.8739214674649,1.54854565750593,0.74227294533866,NA,NA,0.230743623381542,0.0906136358244366,"blue crab",9.72031483886364,2.10474004139046,7,10.0332779621949
"2","AP","early","sled",29.9318181818182,1.08381441199759,27.4204545454545,2.4744782562578,7.39909090909091,0.884296379377461,104,31.6979795059859,317.807229445861,87.8739214674649,1.54854565750593,0.74227294533866,NA,NA,0.230743623381542,0.0906136358244366,"brown shrimp",13.9325395944444,2.64918960131928,3.42857142857143,3.04724700110022
"3","AP","early","sled",29.9318181818182,1.08381441199759,27.4204545454545,2.4744782562578,7.39909090909091,0.884296379377461,104,31.6979795059859,317.807229445861,87.8739214674649,1.54854565750593,0.74227294533866,NA,NA,0.230743623381542,0.0906136358244366,"pink shrimp",20.765355680806,13.0852022789051,6.1,4.5570458267025
"4","AP","early","sled",29.9318181818182,1.08381441199759,27.4204545454545,2.4744782562578,7.39909090909091,0.884296379377461,104,31.6979795059859,317.807229445861,87.8739214674649,1.54854565750593,0.74227294533866,NA,NA,0.230743623381542,0.0906136358244366,"spotted seatrout",34,NA,1,NA
"5","AP","late","sled",30.3694444444444,0.685698577862416,29.3538888888889,1.5646894311246,7.05222222222222,1.05728793513299,141.545454545455,36.0226412387846,420.213261991647,66.1859781237528,1.4089216782992,1.1231914303155,0.324062144350995,0.480525916319122,0.177163844095203,0.150937043803256,"blue crab",26.6630858882857,3.51077212722671,2.85714285714286,2.03540097839643
"6","AP","late","sled",30.3694444444444,0.685698577862416,29.3538888888889,1.5646894311246,7.05222222222222,1.05728793513299,141.545454545455,36.0226412387846,420.213261991647,66.1859781237528,1.4089216782992,1.1231914303155,0.324062144350995,0.480525916319122,0.177163844095203,0.150937043803256,"brown shrimp",13.261190091839,3.17042588445281,15.9166666666667,14.1579295695723
"7","AP","late","sled",30.3694444444444,0.685698577862416,29.3538888888889,1.5646894311246,7.05222222222222,1.05728793513299,141.545454545455,36.0226412387846,420.213261991647,66.1859781237528,1.4089216782992,1.1231914303155,0.324062144350995,0.480525916319122,0.177163844095203,0.150937043803256,"pink shrimp",22.5990454591768,10.4016244570185,28.9333333333333,29.1926279017413
"8","AP","late","sled",30.3694444444444,0.685698577862416,29.3538888888889,1.5646894311246,7.05222222222222,1.05728793513299,141.545454545455,36.0226412387846,420.213261991647,66.1859781237528,1.4089216782992,1.1231914303155,0.324062144350995,0.480525916319122,0.177163844095203,0.150937043803256,"spotted seatrout",28,NA,1,NA
"9","AP","late","sled",30.3694444444444,0.685698577862416,29.3538888888889,1.5646894311246,7.05222222222222,1.05728793513299,141.545454545455,36.0226412387846,420.213261991647,66.1859781237528,1.4089216782992,1.1231914303155,0.324062144350995,0.480525916319122,0.177163844095203,0.150937043803256,"white shrimp",11,NA,1,NA
"10","CB","early","sled",27.051724137931,0.717943834679075,34.1827586206897,1.09383629145879,6.27931034482759,1.46041317792134,96.4827586206897,25.0251597535292,347.912084436349,91.128496344879,3.72276298305549,1.24918960608513,0.371476637396208,0.523496560939068,0.365520309869477,0.460415708886631,"blue crab",14.0290110457143,NA,1,0
"11","CB","early","sled",27.051724137931,0.717943834679075,34.1827586206897,1.09383629145879,6.27931034482759,1.46041317792134,96.4827586206897,25.0251597535292,347.912084436349,91.128496344879,3.72276298305549,1.24918960608513,0.371476637396208,0.523496560939068,0.365520309869477,0.460415708886631,"brown shrimp",33.1792702564131,14.8782564719099,12.1904761904762,13.3027029118862
"12","CB","early","sled",27.051724137931,0.717943834679075,34.1827586206897,1.09383629145879,6.27931034482759,1.46041317792134,96.4827586206897,25.0251597535292,347.912084436349,91.128496344879,3.72276298305549,1.24918960608513,0.371476637396208,0.523496560939068,0.365520309869477,0.460415708886631,"pink shrimp",40,NA,1,NA
"13","CB","late","sled",30.1111111111111,0.941902058167136,34.962962962963,0.587136563951986,11.6003703703704,2.01172616557079,90.1111111111111,27.5532119212894,460.093508242176,107.574889386698,4.34087228846116,1.26525960177546,1.08445913029139,0.979727828694672,0.352095366500821,0.422423185510477,"blue crab",19.1499488213333,3.98967748564592,2,1.4142135623731
"14","CB","late","sled",30.1111111111111,0.941902058167136,34.962962962963,0.587136563951986,11.6003703703704,2.01172616557079,90.1111111111111,27.5532119212894,460.093508242176,107.574889386698,4.34087228846116,1.26525960177546,1.08445913029139,0.979727828694672,0.352095366500821,0.422423185510477,"brown shrimp",31.7642825738413,11.859009260613,5.68421052631579,3.35083126633356
"15","CB","late","sled",30.1111111111111,0.941902058167136,34.962962962963,0.587136563951986,11.6003703703704,2.01172616557079,90.1111111111111,27.5532119212894,460.093508242176,107.574889386698,4.34087228846116,1.26525960177546,1.08445913029139,0.979727828694672,0.352095366500821,0.422423185510477,"pink shrimp",21,NA,1,0
"16","CB","late","sled",30.1111111111111,0.941902058167136,34.962962962963,0.587136563951986,11.6003703703704,2.01172616557079,90.1111111111111,27.5532119212894,460.093508242176,107.574889386698,4.34087228846116,1.26525960177546,1.08445913029139,0.979727828694672,0.352095366500821,0.422423185510477,"spotted seatrout",106,NA,1,NA
"17","CH","early","sled",30.5395652173913,1.22980219496274,21.0921739130435,4.9375407538219,6.15,1.30808326118096,90.304347826087,25.9727738263966,286.145125669637,49.5683796372049,2.2000190870378,0.814698735799747,0.399232163196102,0.233727504383929,0.175609473544351,0.0131623398306088,"brown shrimp",20.3333333333333,1.52752523165195,2,1.4142135623731
"18","CH","early","sled",30.5395652173913,1.22980219496274,21.0921739130435,4.9375407538219,6.15,1.30808326118096,90.304347826087,25.9727738263966,286.145125669637,49.5683796372049,2.2000190870378,0.814698735799747,0.399232163196102,0.233727504383929,0.175609473544351,0.0131623398306088,"pink shrimp",25.7623983366153,11.3922329530545,4.9375,3.25512416557853
"19","CH","early","sled",30.5395652173913,1.22980219496274,21.0921739130435,4.9375407538219,6.15,1.30808326118096,90.304347826087,25.9727738263966,286.145125669637,49.5683796372049,2.2000190870378,0.814698735799747,0.399232163196102,0.233727504383929,0.175609473544351,0.0131623398306088,"spotted seatrout",36.4,0,1.2,0.447213595499958
"20","CH","late","sled",32.1631578947368,1.39610988357562,18.0415789473684,2.65294022037163,7.95684210526316,2.72424312145508,90.5263157894737,25.1603047611215,293.418843307849,62.6569556381958,1.90156957824737,1.02337502926561,0.177613098981738,0.129738676750084,0.520696049048302,NA,"blue crab",27.0502563733333,25.9198340656703,2.2,1.30384048104053
"21","CH","late","sled",32.1631578947368,1.39610988357562,18.0415789473684,2.65294022037163,7.95684210526316,2.72424312145508,90.5263157894737,25.1603047611215,293.418843307849,62.6569556381958,1.90156957824737,1.02337502926561,0.177613098981738,0.129738676750084,0.520696049048302,NA,"gray snapper",48.25,9.20144916122817,1.75,1.5
"22","CH","late","sled",32.1631578947368,1.39610988357562,18.0415789473684,2.65294022037163,7.95684210526316,2.72424312145508,90.5263157894737,25.1603047611215,293.418843307849,62.6569556381958,1.90156957824737,1.02337502926561,0.177613098981738,0.129738676750084,0.520696049048302,NA,"pink shrimp",36.191975308642,8.7429646587345,4.33333333333333,2.95803989154981
